,CF1-1,CF1-2,CF1-3,CF1-4,CF1-5,CF1-6,CF1-7,CF1-8,CF1-9,CF1-10,CF1-11,CF1-13,CF1-14,CF1-15,CF2-1,CF2-2,CF2-3,CF2-4,CF2-5,CF2-6,CF2-7,CF2-8,CF2-9,CF2-10,CF2-11,CF2-12,CF2-13,CF2-14,CF2-15,CF3-1,CF3-2,CF3-3,CF3-4,CF3-5,CF3-6,CF3-7,CF3-8,CF3-9,CF3-12,CF3-13,CF3-14,CF3-15,CF4-1,CF4-2,CF4-3,CF4-4,CF4-5,CF4-9,CF4-10,CF4-11,CF4-13,CF4-14,CF4-15,CF5-1,CF5-2,CF5-3,CF5-4,CF5-5,CF5-6,CF5-7,CF5-8,CF5-9,CF5-10,CF5-11,CF5-12,CF5-13,CF5-14,CF5-15,CF6-1,CF6-2,CF6-3,CF6-4,CF6-5,CF6-6,CF6-7,CF6-8,CF6-9,CF6-10,CF6-11,CF6-12,CF6-13,CF6-14,CD1-1,CD1-2,CD1-3,CD1-4,CD1-5,CD1-6,CD1-7,CD1-8,CD1-9,CD1-10,CD1-11,CD1-12,CD1-13,CD1-14,CD1-15,CD1-16,CD1-17,CD1-18,CD1-19,CD1-20,CD1-21,CD1-22,CD1-23,CD1-24,CD1-25,CD1-26,CD1-27,CD1-28,CD1-29,CD1-30,CD1-31,CD1-32,CD1-33,CD1-34,CD1-35,CD1-36,CD1-37,CD1-38,CD1-39,CD1-40,CD1-41,CD1-42,CD1-43,CD1-44,CD1-45,CD1-46,CD1-47,CD1-48,CD1-49,CD1-50,CD1-51,CD1-52,CD1-53,CD1-54,CD1-55,CD1-56,CD1-57,CD1-58,CD1-59,CD1-60,CD1-61,CD1-62,CD1-63,CD1-64,CD1-65,CD1-66,CD1-67,CD1-68,CD1-69,CD1-70,CD1-71,CD1-72,CD1-73,CD1-74,CD1-75,CD1-76,CD1-77,CD1-78,CD1-79,CD1-80,CD1-81,CD1-82,CD1-83,CD1-84,CD1-85,CD1-86,CD1-87,CD1-88,CD1-89,CD1-90,CD1-91,CD1-92,CD1-93,CD1-94,CD1-95,CD1-96,CD1-97,CD1-98,CD1-99,CD1-100,CD6-1,CD6-2,CD6-3,CD6-4,CD6-5,CD6-6,CD6-7,CD6-8,CD6-9,CD6-10,CD6-11,CD6-12,CD6-13,CD6-14,CD6-15,CD6-16,CD6-17,CD6-19,CD6-20,CD6-21,CD6-22,CD6-23,CD6-24,CD6-25,CD6-26,CD6-27,CD6-28,CD6-29,CD6-30,CD6-31,CD6-32,CD6-33,CD6-34,CD6-35,CD6-36,CD6-37,CD6-38,CD6-39,CD6-40,CD6-41,CD6-42,CD6-43,CD6-44,CD6-45,CD6-46,CD6-47,CD6-48,CD6-49,CD6-50,CD6-51,CD6-52,CD6-53,CD6-54,CD6-55,CD6-56,CD6-57,CD6-58,CD6-59,CD6-60,CD6-61,CD6-62,CD6-63,CD6-64,CD6-65,CD6-66,CD6-67,CD6-68,CD6-69,CD6-70,CD6-71,CD6-72,CD6-73,CD6-74,CD6-75,CD6-76,CD6-77,CD6-78,CD6-79,CD6-80,CD6-81,CD6-82,CD6-83,CD6-84,CD6-85,CD6-86,CD6-87,CD6-88,CD6-89,CD6-90,CD6-91,CD6-92,CD6-93,CD6-94,CD6-95,CD6-96,CD6-97,CD6-98,CD6-99,CD6-100
CF1-11,99.64631942,99.87699954,99.88888272,99.51448445,99.73682074,99.80531612,99.70900337,99.92460221,98.6729164,99.8470215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-13,99.67383578,99.89409148,99.77984607,99.48391338,99.9099675,99.93833106,99.90544953,99.72622324,98.88740875,99.94520932,99.84682012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-14,99.31480253,99.42387041,99.17505361,99.05458477,99.82333822,99.78846792,99.81472834,99.16404153,99.04927958,99.67303729,99.44716022,99.6180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF1-15,96.0318432,96.43590281,95.85655131,96.01818628,97.37152575,97.22794105,97.37309263,95.70034675,97.14247503,97.02893886,96.29145647,96.90477709,97.84360787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-1,84.43860412,84.56138919,84.7147786,84.15437137,83.48773393,83.84404916,83.31513083,83.5695742,83.0826265,83.97736138,84.08146204,84.22758223,83.00540284,81.04168035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-2,84.8499194,84.96457878,85.15244092,84.62264089,83.93670958,84.28282611,83.77526963,84.03456595,83.41734197,84.46310889,84.50242366,84.70967638,83.32237245,81.43551192,99.90540408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-3,85.49524386,85.59791813,85.61662915,85.1386302,84.73645392,85.02483423,84.58250934,84.49201294,84.30867267,85.1324913,85.05507742,85.38177841,84.23532148,82.45686633,99.8437943,99.79112882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-4,84.76709899,84.84395931,84.98456805,84.43138397,83.84358105,84.19066565,83.67697277,83.81351909,83.43793487,84.3254469,84.35978813,84.55323839,83.33059339,81.44897313,99.93302445,99.89844574,99.896764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-5,84.88322415,84.9835373,85.06791893,84.51944255,83.99690591,84.3416176,83.83709053,83.91835085,83.65997617,84.41910499,84.4853448,84.68553381,83.61600459,81.64035792,99.91591468,99.76156995,99.89711799,99.89412091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-6,85.59389838,85.67244192,85.67957883,85.16865231,84.78852554,85.11318988,84.65218545,84.51007863,84.43176904,85.18048664,85.10992499,85.43741654,84.37009629,82.59272693,99.71777784,99.61264703,99.91656578,99.81390444,99.86678807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-7,84.7647473,84.47715888,84.75105686,84.133368,83.41956539,83.75978037,83.23927903,83.61989181,82.66536378,83.96760439,84.1125363,84.19487382,82.77778768,80.33298649,99.54188489,99.58672969,99.40694489,99.57165396,99.40222328,99.26693849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-8,85.1383691,85.10115994,85.33393576,84.75093142,83.99472334,84.40234303,83.84983544,84.30997563,83.26417635,84.55350618,84.68970987,84.80495942,83.3265251,80.58274703,99.29128189,99.34532305,99.18631505,99.26889083,99.18293717,99.05271614,99.05263858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-9,84.60641433,84.73002429,84.9394014,84.34445538,83.6152636,83.96564435,83.43331709,83.79565572,83.09480162,84.14190255,84.27584087,84.40203655,83.00794255,81.01161446,99.91859006,99.94691204,99.74248305,99.87685188,99.76208823,99.55928733,99.58879899,99.29783704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-10,84.7918775,84.94314425,85.05170938,84.48343993,83.9008658,84.24430632,83.73643177,83.85775493,83.46582695,84.37734471,84.37770952,84.65320102,83.34287684,81.49160501,99.93336914,99.92251212,99.89131406,99.91117086,99.87424364,99.76293673,99.48628949,99.30816027,99.90531678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-11,84.91844663,85.06870962,85.2134364,84.65610796,84.01599453,84.35537867,83.85871676,84.07415453,83.63469638,84.49181059,84.57125147,84.77750524,83.44679266,81.48410856,99.93506315,99.94063141,99.85861566,99.90394179,99.86380803,99.72365012,99.52908547,99.32628184,99.94393101,99.96029417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-12,84.89433493,85.1030234,85.28066992,84.7185267,83.9865426,84.34724151,83.83150209,84.16645984,83.55631076,84.51521219,84.60799054,84.7944711,83.36352401,81.40328858,99.8769342,99.93808358,99.73877496,99.81028543,99.74217742,99.57600423,99.4747955,99.33936914,99.93959497,99.91753696,99.95977836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-13,84.15202554,84.34743261,84.55905209,83.88442835,83.1622614,83.55497588,82.99521104,83.35151747,82.8138753,83.68186096,83.85198681,83.95403118,82.50107524,80.61947651,99.57713723,99.59300196,99.38266597,99.53638181,99.37800431,99.23619164,99.18424502,98.8983975,99.63957236,99.57823395,99.62972158,99.60587901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-14,84.04997167,84.24769814,84.47652578,83.79845781,82.99202345,83.38967285,82.82396763,83.28057617,82.61161507,83.55657142,83.75049355,83.83843102,82.42679673,80.39261419,99.85754155,99.82745302,99.59273748,99.75502557,99.70152817,99.50630544,99.44001127,99.22286529,99.89447707,99.83982768,99.87244618,99.90007898,99.60632317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF2-15,84.50082026,84.66496485,84.84848011,84.22500404,83.49371838,83.86930515,83.33601816,83.64377076,83.05102806,84.0281002,84.12988427,84.31243118,82.92499098,80.98046665,99.90555673,99.90846106,99.7436452,99.86088116,99.78795989,99.65905957,99.51634797,99.27869108,99.92805956,99.92249021,99.9281083,99.92818167,99.5978517,99.95348071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
